Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
2180,Lucas Vázquez,es ESP,DF,Real Madrid,es La Liga,33.0,1991.0,10,5,446,5.0,0.2,0.4,0.2,0.4,0.04,0.21,0.04,0.21,8,5,62.5,3,37.5,77.2,1.6,14.8,41.0,21.4,2.0,77.2,1.6,1.0,0.6,38.8,151.0,66.2,0.8,0.8,0.4,1.0,0.2,53.4,7.2,2.83,0.2,2.0,0.4,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,298,347,85.9,4554,1097,159,174,91.4,114,129,88.4,16,28,57.1,0.2,0.16,0.14,0.04,1.6,3.8,0.6,0.0,4.6,69.4,59.2,10.0,0.6,0.0,0.2,3.4,7.2,2.2,0.6,1.0,0.0,59.6,0.2,1.2,0.2,0.2,1.0,1.0,0.22,0.8,0.8,28.6,0.2,0.0,0.0,1.6,1.0,0.0,0.6,1.8,0.0,0.0,3.4,0.4,1.0,2.2,1.4,0.8,0.0,1.4,2.6,1.2,0.8,0.0,2.8,0.4,0.0,53.8
2181,Matías Vecino,uy URU,MF,Lazio,it Serie A,33.0,1991.0,10,4,486,5.4,0.19,0.37,0.19,0.37,0.22,0.49,0.22,0.49,0,0,0.0,0,0.0,51.11,1.67,9.81,31.3,10.19,3.33,51.11,0.0,0.0,0.0,26.3,122.22,47.04,0.19,1.11,0.19,0.93,1.11,35.37,1.3,2.96,0.37,2.41,0.0,0.0,0.37,0.0,0.19,0.37,0.0,0.0,0.0,0.0,0.0,187,229,81.7,3225,793,79,100,79.0,89,96,92.7,15,19,78.9,0.19,0.28,0.3,-0.09,1.3,3.52,0.37,0.0,2.96,42.41,41.48,0.93,0.93,0.37,0.19,0.19,0.0,0.0,0.0,0.0,0.0,34.63,0.0,0.93,2.04,0.56,0.09,0.33,0.11,-0.2,-0.2,50.0,0.37,0.0,0.0,2.04,0.19,0.0,0.93,1.11,0.0,0.0,3.33,2.41,2.41,1.48,0.19,1.11,0.19,0.56,2.41,1.85,0.93,0.37,2.41,1.11,0.0,23.1
2183,Alejo Véliz,ar ARG,FW,Espanyol,es La Liga,21.0,2003.0,12,9,711,7.9,0.13,0.13,0.13,0.13,0.21,0.28,0.21,0.28,5,1,20.0,3,60.0,23.92,1.77,2.66,15.06,6.2,1.9,23.92,0.63,0.13,0.38,8.61,30.76,9.49,0.13,0.38,0.0,2.53,0.51,15.06,2.03,0.49,0.0,0.25,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,109,70.6,1124,130,46,57,80.7,21,31,67.7,7,8,87.5,0.0,0.06,0.0,-0.06,0.25,0.89,0.0,0.0,0.63,13.8,11.27,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.25,1.65,0.51,0.08,0.25,0.13,-0.7,-0.7,51.9,0.25,0.0,0.0,1.27,2.28,0.51,0.25,0.13,0.0,0.0,1.39,3.54,3.29,0.13,0.0,0.13,0.0,0.13,0.63,0.51,1.39,0.25,0.38,1.77,0.0,20.0
2184,Miloš Veljković,rs SRB,DF,Werder Bremen,de Bundesliga,29.0,1995.0,4,3,315,3.5,0.0,0.0,0.0,0.0,0.04,0.08,0.04,0.08,0,0,0.0,0,0.0,68.86,4.86,25.14,36.86,7.14,0.57,68.86,0.0,0.0,0.0,46.29,223.43,136.86,1.71,1.43,0.0,0.29,0.0,50.57,0.57,1.43,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,218,89.0,4085,1348,66,67,98.5,89,97,91.8,36,48,75.0,0.0,0.03,0.09,-0.03,0.57,7.43,0.57,0.57,7.71,62.29,59.43,2.86,1.71,0.0,2.86,1.43,0.0,0.0,0.0,0.0,0.0,55.43,0.0,0.86,0.29,0.0,0.0,0.0,0.15,-0.2,-0.2,36.4,0.0,0.0,0.0,0.29,0.86,0.0,0.29,0.29,0.0,0.0,3.43,1.14,2.0,0.57,0.29,0.0,0.29,0.29,1.43,1.14,1.71,1.43,0.86,2.57,0.0,20.0
2185,Joël Veltman,nl NED,DF,Brighton,eng Premier League,32.0,1992.0,11,11,956,10.6,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.03,12,2,16.7,5,41.7,57.74,3.96,20.38,27.17,10.47,0.66,57.74,1.13,0.19,0.47,26.6,132.55,65.66,1.79,0.94,0.28,1.04,0.47,31.7,1.7,0.94,0.09,0.47,0.09,0.09,0.09,0.19,0.0,0.0,0.09,0.0,0.0,0.0,0.0,394,499,79.0,6598,1823,206,230,89.6,146,182,80.2,36,59,61.0,0.0,0.03,0.1,-0.03,0.28,2.74,0.28,0.19,3.21,47.08,37.45,9.53,1.7,0.09,0.09,1.13,7.83,0.0,0.0,0.0,0.0,37.17,0.09,1.7,0.19,0.0,0.0,0.0,0.03,-0.1,-0.1,40.9,0.09,0.0,0.0,1.13,2.55,0.0,1.04,1.42,0.0,0.0,3.58,0.85,1.23,2.08,1.23,0.66,0.19,1.42,3.21,1.79,1.13,0.47,3.11,3.3,0.0,44.1
2186,Micky van de Ven,nl NED,DF,Tottenham,eng Premier League,23.0,2001.0,8,8,710,7.9,0.0,0.25,0.0,0.25,0.03,0.18,0.03,0.18,6,4,66.7,2,33.3,84.81,9.11,42.53,39.37,3.92,0.89,84.81,0.76,0.51,0.25,59.62,278.61,136.2,1.01,1.27,0.13,0.38,0.38,61.9,0.13,1.14,0.25,0.76,0.0,0.0,0.25,0.13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,560,607,92.3,10446,3007,171,185,92.4,350,362,96.7,34,47,72.3,0.25,0.15,0.09,0.1,0.25,5.06,0.13,0.0,5.32,76.84,72.78,3.92,1.77,0.0,0.13,0.0,0.38,0.0,0.0,0.0,0.0,70.89,0.13,0.63,0.51,0.13,0.0,0.0,0.06,-0.2,-0.2,50.0,0.51,0.0,0.0,1.01,0.76,0.0,1.14,0.51,0.0,0.0,6.46,2.03,2.03,0.89,0.38,0.38,0.13,0.63,1.27,0.63,0.76,0.51,2.03,3.04,0.13,50.0
2190,Jordan Veretout,fr FRA,MF,Lyon,fr Ligue 1,31.0,1993.0,8,7,554,6.2,0.0,0.0,0.0,0.0,0.05,0.09,0.05,0.09,5,4,80.0,1,20.0,63.23,1.45,9.52,35.81,18.71,1.13,63.23,0.81,0.65,0.16,28.87,140.65,75.16,2.26,1.13,0.16,0.65,0.65,44.84,5.32,2.6,0.0,2.42,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287,351,81.8,4979,1287,135,157,86.0,119,141,84.4,29,42,69.0,0.0,0.05,0.08,-0.05,1.13,5.97,1.13,0.0,6.45,56.61,54.52,2.1,0.48,0.16,0.48,2.42,0.16,1.13,1.13,0.0,0.0,46.29,0.0,1.13,0.65,0.16,0.0,0.0,0.07,-0.3,-0.3,27.3,0.16,0.0,0.0,0.97,0.48,0.0,0.16,0.32,0.0,0.0,4.68,0.48,1.29,0.97,0.48,0.32,0.16,0.48,1.61,1.13,1.45,0.32,1.13,1.13,0.0,30.0
2191,Arthur Vermeeren,be BEL,MF,RB Leipzig,de Bundesliga,19.0,2005.0,10,5,468,5.2,0.0,0.0,0.0,0.0,0.04,0.07,0.04,0.07,3,2,66.7,1,33.3,69.42,3.08,15.19,41.54,13.46,0.38,69.42,0.58,0.38,0.19,30.38,114.81,52.12,0.77,1.15,0.19,1.54,1.15,46.35,1.73,2.11,0.0,1.92,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,259,308,84.1,3831,1121,142,164,86.6,102,117,87.2,8,13,61.5,0.0,0.02,0.04,-0.02,0.58,4.23,0.19,0.0,5.38,59.23,58.08,1.15,0.96,0.19,0.19,0.58,0.0,0.0,0.0,0.0,0.0,49.81,0.0,1.35,0.19,0.0,0.0,0.0,0.23,-0.2,-0.2,33.3,0.58,0.0,0.0,1.35,0.0,0.0,1.92,1.92,0.0,0.0,6.92,0.38,0.77,2.5,0.77,1.73,0.0,0.77,3.27,2.5,2.12,0.96,4.42,1.54,0.0,23.5
2192,Yorbe Vertessen,be BEL,"MF,FW",Union Berlin,de Bundesliga,23.0,2001.0,11,6,552,6.1,0.16,0.16,0.16,0.16,0.14,0.37,0.14,0.37,34,12,35.3,19,55.9,39.67,0.33,4.59,15.25,20.0,2.95,39.67,5.57,1.97,3.11,22.13,124.1,43.93,1.64,1.31,0.16,3.61,2.13,26.07,4.92,3.57,0.0,2.13,0.66,0.49,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,142,64.1,1464,439,48,65,73.8,29,41,70.7,9,24,37.5,0.0,0.23,0.28,-0.23,2.3,0.66,1.8,0.33,1.97,23.28,20.16,3.11,1.15,0.16,0.0,3.44,0.0,1.8,1.15,0.33,0.0,14.92,0.0,0.82,2.77,0.82,0.06,0.2,0.05,0.1,0.1,35.7,0.16,0.0,0.0,1.48,1.8,0.33,0.49,0.49,0.0,0.0,3.93,0.82,1.48,0.98,0.49,0.33,0.16,0.33,0.82,0.49,0.49,0.0,1.48,0.49,0.0,40.0
2193,Mikel Vesga,es ESP,MF,Athletic Club,es La Liga,31.0,1993.0,8,4,357,4.0,0.0,0.0,0.0,0.0,0.01,0.14,0.01,0.14,4,2,50.0,2,50.0,58.0,1.75,11.5,38.0,8.75,0.75,58.0,1.0,0.5,0.5,27.25,125.5,56.25,0.5,0.5,0.25,1.5,1.0,36.5,1.5,1.76,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,197,81.2,2818,784,70,80,87.5,70,87,80.5,17,23,73.9,0.0,0.12,0.08,-0.12,1.5,4.5,0.5,0.0,6.0,49.25,48.25,0.75,0.5,0.25,0.75,0.25,0.25,0.0,0.0,0.0,0.0,40.0,0.25,0.5,0.25,0.0,0.0,0.0,0.05,0.0,0.0,28.6,0.25,0.0,0.0,1.25,0.0,0.0,1.5,0.75,0.0,0.0,6.75,0.5,1.25,1.5,0.5,1.0,0.0,0.75,2.75,2.0,1.25,0.0,3.0,1.25,0.0,27.3
