,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
526,571,Amad Diallo,ci CIV,"FW,DF",Manchester Utd,eng Premier League,22.0,2002.0,10,6,572,6.4,0.16,0.63,0.16,0.63,0.13,0.36,0.13,0.36,24,9,37.5,15,62.5,60.47,1.09,8.44,20.47,32.66,6.72,60.47,3.75,1.41,2.34,38.28,278.12,135.16,6.09,3.44,3.75,1.56,1.56,44.06,11.25,5.03,0.63,3.75,0.47,0.47,0.16,0.16,0.0,0.47,0.0,0.16,0.0,0.0,0.0,255,308,82.8,3645,728,153,173,88.4,74,86,86.0,17,26,65.4,0.47,0.23,0.17,0.23,2.5,1.09,2.34,0.16,3.91,48.12,43.44,4.22,0.31,0.16,0.0,2.03,2.34,1.56,0.94,0.0,0.16,39.84,0.47,1.09,2.2,0.79,0.07,0.2,0.06,0.2,0.2,62.5,0.31,0.0,0.0,1.09,0.78,0.47,0.62,1.88,0.0,0.0,4.69,0.78,0.47,2.5,0.62,1.25,0.62,1.25,1.72,0.47,0.47,0.0,3.12,1.25,0.0,72.7
535,580,Luis Díaz,co COL,FW,Liverpool,eng Premier League,27.0,1997.0,12,8,677,7.5,0.66,0.93,0.66,0.93,0.39,0.6,0.39,0.6,39,16,41.0,19,48.7,48.27,0.93,4.53,18.13,26.93,6.67,48.27,5.2,2.13,2.53,31.87,256.27,132.0,4.53,2.27,2.93,1.87,2.27,36.67,9.2,5.44,0.66,4.13,0.0,0.8,0.4,0.13,0.0,0.67,0.0,0.0,0.0,0.0,0.0,222,262,84.7,3401,704,125,144,86.8,71,82,86.6,16,19,84.2,0.27,0.2,0.17,0.07,2.27,2.0,1.47,0.13,3.2,34.93,33.73,1.07,0.13,0.0,0.0,0.93,0.93,0.0,0.0,0.0,0.0,29.6,0.13,0.93,2.79,1.33,0.24,0.5,0.14,2.1,2.1,35.7,0.0,0.0,0.0,2.13,1.47,0.27,0.4,0.93,0.0,0.0,4.27,0.67,1.2,1.73,0.67,0.93,0.13,0.8,1.73,0.93,0.93,0.0,2.13,0.53,0.13,46.2
537,582,Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18.0,2006.0,13,8,750,8.3,0.12,0.12,0.12,0.12,0.12,0.24,0.12,0.24,57,21,36.8,22,38.6,41.2,0.96,5.42,19.04,17.71,2.41,41.2,6.87,2.53,2.65,28.92,256.99,139.4,4.34,2.77,1.69,2.53,2.17,32.53,5.42,3.96,0.36,2.17,0.12,0.96,0.24,0.48,0.0,0.24,0.0,0.12,0.0,0.0,0.0,187,235,79.6,3002,752,96,107,89.7,78,93,83.9,11,21,52.4,0.0,0.12,0.11,-0.12,1.33,2.17,1.33,0.0,3.61,28.31,26.14,1.93,0.48,0.48,0.12,1.69,0.12,0.84,0.6,0.0,0.0,22.53,0.24,0.84,1.44,0.6,0.08,0.2,0.09,0.0,0.0,16.7,0.6,0.0,0.0,1.81,3.49,0.0,0.48,1.2,0.24,0.0,3.37,0.24,1.2,1.69,0.72,0.84,0.12,0.72,1.2,0.48,0.6,0.12,2.17,0.6,0.0,60.0
546,591,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23.0,2001.0,8,7,655,7.3,0.27,0.55,0.27,0.55,0.14,0.21,0.14,0.21,6,3,50.0,3,50.0,50.0,5.62,25.21,21.51,3.56,1.1,50.0,0.82,0.41,0.41,25.48,107.53,55.89,0.14,0.27,0.0,0.68,0.0,27.67,0.55,1.79,0.41,1.51,0.0,0.0,0.27,0.0,0.0,0.14,0.0,0.0,0.27,0.0,0.0,226,285,79.3,4270,2135,84,99,84.8,114,127,89.8,25,44,56.8,0.27,0.07,0.01,0.21,0.27,3.01,0.0,0.0,3.56,39.04,36.16,2.6,2.19,0.0,0.27,0.14,0.41,0.0,0.0,0.0,0.0,30.96,0.27,0.68,0.82,0.27,0.33,1.0,0.17,1.0,1.0,52.0,0.41,0.0,0.0,1.23,1.1,0.0,1.23,0.96,0.0,0.0,3.97,1.78,1.64,1.37,0.41,0.82,0.14,1.1,1.64,0.55,1.64,1.1,2.6,3.15,0.0,66.7
554,600,Álvaro djaló,es ESP,FW,Athletic Club,es La Liga,25.0,1999.0,10,4,405,4.5,0.22,0.22,0.22,0.22,0.17,0.33,0.17,0.33,18,8,44.4,9,50.0,30.0,0.22,2.44,10.0,18.22,3.78,30.0,4.0,1.78,2.0,19.11,118.67,66.44,2.89,2.89,1.11,4.0,1.56,22.67,8.44,1.77,0.22,0.67,0.0,0.22,0.22,0.67,0.0,0.0,0.0,0.0,0.0,0.22,0.0,47,70,67.1,709,135,27,35,77.1,15,26,57.7,4,5,80.0,0.0,0.16,0.11,-0.16,0.67,1.11,0.67,0.44,1.33,15.56,14.44,0.89,0.0,0.0,0.44,1.33,0.22,0.0,0.0,0.0,0.0,10.44,0.22,0.22,3.11,0.67,0.07,0.33,0.05,0.2,0.2,33.3,0.0,0.0,0.0,2.44,1.33,0.89,0.22,0.44,0.0,0.0,2.0,1.33,2.67,0.89,0.67,0.22,0.0,0.22,0.67,0.44,0.44,0.0,1.11,0.44,0.0,33.3
557,604,Ritsu Doan,jp JPN,FW,Freiburg,de Bundesliga,26.0,1998.0,11,11,916,10.2,0.39,0.49,0.39,0.49,0.3,0.35,0.3,0.35,45,20,44.4,24,53.3,49.8,0.98,7.35,22.84,20.49,3.63,49.8,4.41,1.96,2.35,28.43,154.51,68.53,2.16,1.86,0.98,1.57,2.06,35.1,5.88,2.85,0.2,1.47,0.0,0.49,0.59,0.29,0.0,0.1,0.0,0.0,0.1,0.0,0.0,263,373,70.5,4061,1400,128,167,76.6,94,128,73.4,23,36,63.9,0.1,0.05,0.11,0.05,0.59,2.45,0.98,0.2,3.92,36.57,35.98,0.59,0.0,0.59,0.0,2.16,0.59,0.0,0.0,0.0,0.0,25.78,0.0,1.86,2.06,0.88,0.19,0.44,0.18,0.9,0.9,36.8,0.0,0.0,0.0,0.49,1.37,0.1,0.59,1.27,0.0,0.0,3.92,0.69,1.18,1.67,0.88,0.59,0.2,0.78,1.47,0.69,1.57,0.0,2.25,0.88,0.1,53.3
558,605,Dodô,br BRA,DF,Fiorentina,it Serie A,26.0,1998.0,13,13,1160,12.9,0.0,0.0,0.0,0.0,0.02,0.16,0.02,0.16,52,23,44.2,22,42.3,63.57,2.95,16.59,27.6,20.47,2.09,63.57,4.03,1.78,1.71,38.68,283.18,166.51,5.35,2.95,0.93,1.78,0.78,40.23,6.05,2.64,0.23,2.02,0.0,0.08,0.16,0.39,0.0,0.08,0.0,0.0,0.0,0.16,0.0,537,688,78.1,9936,2999,198,229,86.5,287,341,84.2,45,89,50.6,0.0,0.14,0.13,-0.14,1.24,2.95,1.4,0.78,4.5,53.33,45.19,8.06,0.85,0.16,0.0,4.81,7.21,0.0,0.0,0.0,0.0,41.63,0.08,1.86,0.7,0.16,0.0,0.0,0.03,-0.3,-0.3,50.0,0.23,0.0,0.0,0.39,1.47,0.08,1.4,0.78,0.16,0.0,5.58,0.39,0.39,1.01,0.54,0.23,0.23,0.7,1.24,0.54,0.78,0.23,2.4,1.78,0.0,56.3
561,608,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22.0,2002.0,8,5,407,4.5,0.22,0.44,0.22,0.44,0.09,0.36,0.09,0.36,46,22,47.8,13,28.3,64.89,0.22,2.22,13.56,50.89,9.56,64.89,10.22,4.89,2.89,46.89,488.0,320.67,14.67,6.67,5.56,2.89,2.67,53.33,18.44,4.66,0.22,3.78,0.22,0.44,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,174,219,79.5,2415,413,116,134,86.6,52,64,81.3,4,5,80.0,0.22,0.27,0.24,-0.04,2.0,0.22,3.33,0.22,4.22,48.67,47.78,0.44,0.0,0.67,0.0,4.44,0.0,0.44,0.0,0.0,0.0,38.67,0.44,2.67,2.21,0.66,0.1,0.33,0.04,0.6,0.6,0.0,0.0,0.0,0.0,0.44,2.0,0.44,0.0,0.89,0.0,0.0,4.0,0.0,0.0,2.0,0.44,0.67,0.89,0.22,0.67,0.44,0.89,0.0,2.0,0.22,0.0,33.3
577,627,Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,21.0,2003.0,9,3,382,4.2,0.0,0.24,0.0,0.24,0.04,0.13,0.04,0.13,11,5,45.5,6,54.5,62.62,1.43,10.71,32.14,20.0,1.9,62.62,2.62,1.19,1.43,32.86,137.86,51.43,0.48,1.19,0.24,2.38,2.14,40.0,4.05,4.24,0.24,3.33,0.48,0.0,0.0,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.0,172,213,80.8,2651,530,93,102,91.2,59,68,86.8,11,25,44.0,0.24,0.1,0.12,0.14,1.43,2.38,0.71,0.0,3.57,50.71,45.24,4.76,1.67,0.71,0.0,3.1,0.0,1.43,0.71,0.71,0.0,40.95,0.71,0.48,1.18,0.24,0.0,0.0,0.03,-0.2,-0.2,27.3,0.0,0.0,0.0,2.38,0.95,0.0,1.43,1.9,0.0,0.0,5.95,0.71,1.9,3.1,1.19,1.43,0.48,1.9,3.81,1.9,0.95,0.0,4.52,0.95,0.0,50.0
580,630,Flynn Downes,eng ENG,"MF,DF",Southampton,eng Premier League,25.0,1999.0,12,12,1051,11.7,0.09,0.09,0.09,0.09,0.05,0.13,0.05,0.13,7,1,14.3,6,85.7,63.33,4.44,20.26,31.62,11.71,1.11,63.33,0.6,0.09,0.51,30.26,165.38,87.01,1.28,1.2,0.17,0.94,1.03,46.32,1.62,1.88,0.09,1.54,0.17,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,571,622,91.8,8298,1745,337,357,94.4,195,208,93.8,19,31,61.3,0.0,0.08,0.09,-0.08,1.03,2.82,0.77,0.0,3.59,53.16,51.45,1.71,1.71,0.43,0.0,0.17,0.0,0.0,0.0,0.0,0.0,48.8,0.0,0.43,0.6,0.26,0.14,0.33,0.08,0.4,0.4,64.3,0.43,0.0,0.0,2.05,1.62,0.0,1.28,1.2,0.0,0.0,2.99,0.77,0.43,2.22,1.11,0.94,0.17,0.6,1.88,1.28,1.37,0.26,3.5,1.88,0.26,31.8
