,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
5,5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999.0,12,12,1062,11.8,0.25,0.34,0.08,0.17,0.3,0.41,0.1,0.21,59,24,40.7,33,55.9,69.58,0.93,9.41,39.15,22.12,1.95,69.32,5.0,2.03,2.8,38.73,238.05,135.25,3.81,2.37,0.85,1.44,1.44,50.25,3.98,3.05,0.17,2.46,0.17,0.17,0.08,0.17,0.0,0.08,0.0,0.08,0.0,0.0,0.0,551,685,80.4,8230,2474,304,348,87.4,198,235,84.3,27,64,42.2,0.08,0.11,0.11,-0.03,1.61,5.08,1.44,0.0,7.03,58.05,52.97,4.83,2.2,0.68,0.42,2.2,0.42,0.68,0.34,0.17,0.0,46.69,0.25,1.1,1.1,0.25,0.08,0.33,0.09,-0.6,-0.2,42.9,0.08,0.0,0.0,1.27,1.1,0.17,0.76,1.27,0.0,0.0,5.59,0.51,0.68,1.69,0.51,0.59,0.59,0.59,1.78,1.19,0.68,0.0,2.46,0.76,0.0,33.3
6,6,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,1999.0,6,5,428,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,2,66.7,58.96,6.04,26.25,29.58,3.54,0.21,58.96,0.62,0.21,0.42,29.17,125.62,66.25,0.21,0.0,0.0,0.42,0.42,32.5,0.62,0.63,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,231,88.3,3609,1183,81,86,94.2,109,120,90.8,10,19,52.6,0.0,0.0,0.02,0.0,0.0,2.5,0.21,0.0,4.17,48.12,45.21,2.92,2.5,0.0,1.25,0.0,0.42,0.0,0.0,0.0,0.0,42.5,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,0.42,0.0,0.0,0.42,0.62,0.0,2.29,2.08,0.0,0.0,5.21,1.88,2.08,2.92,1.67,1.04,0.21,1.88,3.12,1.25,0.83,0.42,5.21,4.58,0.21,60.0
7,7,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,8,6,581,6.5,0.15,0.46,0.15,0.46,0.14,0.33,0.14,0.33,12,5,41.7,7,58.3,55.54,3.54,15.85,20.62,19.54,3.54,55.54,1.85,0.77,1.08,23.23,112.77,61.23,2.31,1.08,0.92,2.0,1.08,29.69,6.92,3.1,0.31,2.0,0.46,0.31,0.31,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,202,280,72.1,3131,1127,103,128,80.5,80,105,76.2,11,26,42.3,0.31,0.18,0.15,0.12,1.54,1.08,1.23,0.31,2.46,43.08,34.31,8.31,0.77,0.0,0.31,2.62,7.54,0.0,0.0,0.0,0.0,31.08,0.46,1.08,2.01,0.62,0.08,0.25,0.07,0.1,0.1,56.3,0.15,0.0,0.0,1.54,0.46,0.15,0.46,1.54,0.0,0.0,5.23,1.38,1.08,2.46,1.08,0.62,0.77,2.15,3.23,1.08,2.0,0.46,2.92,2.0,0.0,66.7
9,9,Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000.0,13,9,825,9.2,0.22,0.22,0.22,0.22,0.03,0.06,0.03,0.06,11,5,45.5,6,54.5,53.59,3.04,17.93,23.91,12.28,0.54,53.59,1.2,0.54,0.65,18.91,112.28,57.5,1.85,2.07,0.11,0.76,0.65,21.41,1.96,1.31,0.22,0.98,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.11,273,395,69.1,4686,2165,141,159,88.7,100,142,70.4,25,68,36.8,0.0,0.03,0.05,-0.03,0.54,2.83,0.54,0.43,3.8,42.93,30.76,11.96,0.87,0.0,0.11,2.83,11.09,0.0,0.0,0.0,0.0,29.67,0.22,1.85,0.55,0.33,0.4,0.67,0.05,1.7,1.7,62.5,0.22,0.0,0.0,0.87,1.3,0.0,0.98,1.74,0.0,0.0,5.0,1.09,0.65,2.39,1.2,0.76,0.43,1.41,2.5,1.09,1.52,0.22,3.37,3.26,0.0,56.5
14,14,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,12,11,917,10.2,0.39,0.59,0.39,0.59,0.6,0.69,0.52,0.61,20,8,40.0,12,60.0,32.65,0.29,3.04,11.18,18.82,5.69,32.55,1.96,0.78,1.18,19.31,94.02,47.06,1.67,1.47,0.88,3.43,1.18,24.02,7.75,1.47,0.39,0.78,0.0,0.29,0.29,0.1,0.0,0.29,0.0,0.1,0.0,0.0,0.0,121,196,61.7,1535,471,79,107,73.8,34,61,55.7,2,6,33.3,0.2,0.1,0.1,0.1,0.29,0.69,0.59,0.1,1.47,19.22,18.14,0.88,0.0,0.0,0.0,1.76,0.39,0.29,0.2,0.0,0.0,11.86,0.2,0.69,3.34,1.47,0.12,0.27,0.16,-2.1,-1.3,51.7,0.2,0.0,0.0,2.06,0.98,0.2,0.39,0.59,0.0,0.0,2.25,1.47,1.37,1.08,0.49,0.29,0.29,0.39,1.18,0.78,0.69,0.0,1.47,0.29,0.0,33.3
19,21,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,28.0,1996.0,12,9,762,8.5,0.35,0.47,0.35,0.47,0.29,0.4,0.29,0.4,11,4,36.4,5,45.5,29.41,0.24,2.12,15.65,12.0,3.06,29.41,1.29,0.47,0.59,16.82,76.35,26.24,0.94,0.71,0.24,2.59,0.94,21.29,4.94,2.6,0.12,2.0,0.0,0.0,0.35,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.0,128,177,72.3,1917,310,70,87,80.5,44,57,77.2,7,14,50.0,0.12,0.12,0.09,0.0,1.18,1.18,0.24,0.0,0.94,20.82,19.41,1.29,0.12,0.12,0.24,0.24,0.12,0.0,0.0,0.0,0.0,15.06,0.12,0.59,2.01,0.94,0.18,0.38,0.14,0.6,0.6,43.8,0.12,0.0,0.0,0.94,1.29,0.82,0.0,0.35,0.0,0.0,1.65,1.65,2.12,0.71,0.12,0.35,0.24,0.0,0.12,0.12,0.59,0.35,0.71,0.24,0.0,0.0
21,23,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001.0,11,10,805,8.9,0.22,0.34,0.22,0.34,0.42,0.58,0.42,0.58,12,6,50.0,6,50.0,31.01,1.01,3.26,14.61,13.6,4.27,31.01,1.35,0.67,0.67,15.96,67.53,25.39,0.56,0.34,0.34,3.03,1.12,20.45,5.06,2.34,0.33,1.8,0.0,0.11,0.22,0.22,0.0,0.22,0.0,0.0,0.11,0.0,0.0,112,176,63.6,1344,110,68,98,69.4,29,44,65.9,1,2,50.0,0.11,0.16,0.17,-0.04,1.46,0.34,0.22,0.0,0.56,19.78,18.31,1.24,0.0,0.11,0.0,0.22,0.11,0.0,0.0,0.0,0.0,12.58,0.22,0.67,2.24,0.89,0.1,0.25,0.19,-1.8,-1.8,27.4,0.34,0.11,0.0,2.13,1.69,0.9,0.56,0.0,0.0,0.0,2.92,2.58,6.85,0.34,0.11,0.11,0.11,0.0,0.45,0.45,0.67,0.0,0.9,1.01,0.0,0.0
27,29,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000.0,11,5,494,5.5,0.36,0.91,0.36,0.91,0.01,0.22,0.01,0.22,11,4,36.4,6,54.5,75.64,2.18,13.45,45.82,17.27,0.36,75.64,2.0,0.73,1.09,42.73,253.64,117.09,1.64,2.0,0.18,1.09,0.36,50.36,2.0,4.55,0.91,3.09,1.27,0.18,0.0,0.0,0.0,0.36,0.36,0.18,0.0,0.0,0.0,299,367,81.5,5965,1960,130,143,90.9,112,130,86.2,55,84,65.5,0.55,0.22,0.15,0.33,2.36,7.27,0.73,0.0,7.27,66.73,59.64,6.73,2.73,0.36,0.91,4.18,0.36,3.45,0.91,2.36,0.0,54.36,0.36,0.55,0.36,0.36,1.0,1.0,0.03,1.9,1.9,33.3,0.18,0.0,0.0,0.36,2.18,0.0,0.55,1.45,0.0,0.0,5.45,0.55,1.09,2.55,0.73,1.09,0.73,1.27,2.36,1.09,1.27,0.18,3.09,1.82,0.0,53.8
31,33,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26.0,1998.0,12,8,783,8.7,0.23,0.23,0.23,0.23,0.17,0.26,0.17,0.26,47,23,48.9,22,46.8,38.85,0.57,4.71,15.75,18.97,3.68,38.85,5.4,2.64,2.53,25.52,167.24,73.56,2.64,1.95,1.38,3.33,2.64,28.62,6.21,3.1,0.34,1.61,0.0,0.8,0.46,0.23,0.0,0.11,0.0,0.23,0.0,0.0,0.0,145,208,69.7,2669,675,62,79,78.5,58,79,73.4,22,28,78.6,0.0,0.09,0.06,-0.09,1.26,1.49,0.8,0.69,2.07,23.91,22.64,1.03,0.11,0.0,0.46,3.22,0.57,0.0,0.0,0.0,0.0,16.67,0.23,1.49,2.18,0.8,0.11,0.29,0.08,0.5,0.5,25.0,0.11,0.0,0.0,1.49,1.84,0.46,0.57,0.69,0.0,0.0,4.02,0.8,2.41,1.15,0.23,0.46,0.46,0.46,1.15,0.69,0.8,0.11,1.72,0.92,0.0,40.0
34,37,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,2002.0,12,8,685,7.6,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.04,12,10,83.3,2,16.7,65.13,2.63,15.53,39.74,10.79,0.79,65.13,1.58,1.32,0.26,32.11,155.53,71.32,1.45,1.32,0.13,1.71,0.66,43.68,1.45,2.36,0.13,2.11,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,327,411,79.6,5030,1384,178,201,88.6,111,137,81.0,26,42,61.9,0.0,0.03,0.03,-0.03,0.79,3.68,0.26,0.0,4.08,54.08,52.11,1.58,1.05,0.13,0.26,0.39,0.53,0.0,0.0,0.0,0.0,43.03,0.39,1.05,0.39,0.0,0.0,0.0,0.04,-0.1,-0.1,46.7,0.13,0.13,0.0,2.24,0.26,0.26,1.45,0.79,0.0,0.13,5.0,1.84,2.11,2.76,1.18,1.32,0.26,1.32,1.97,0.66,1.84,0.79,4.21,1.18,0.0,66.7
36,39,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28.0,1996.0,9,3,316,3.5,0.0,0.0,0.0,0.0,0.13,0.14,0.13,0.14,5,3,60.0,1,20.0,58.29,1.14,11.43,32.29,15.14,0.57,58.29,1.43,0.86,0.29,34.29,270.29,136.86,2.29,1.14,0.0,1.43,0.57,37.71,0.57,3.7,0.0,3.43,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,164,76.2,2375,730,40,55,72.7,69,79,87.3,14,22,63.6,0.0,0.0,0.06,0.0,0.57,5.43,2.0,0.86,6.86,46.86,43.71,2.86,2.0,0.29,0.86,2.57,0.29,0.57,0.0,0.29,0.0,35.71,0.29,1.14,2.56,0.0,0.0,0.0,0.05,-0.4,-0.4,66.7,0.29,0.0,0.0,0.86,2.0,0.0,0.57,0.57,0.0,0.0,7.43,0.57,0.29,1.14,0.57,0.57,0.0,0.57,1.71,1.14,1.43,0.0,1.71,1.43,0.29,33.3
41,44,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30.0,1994.0,11,11,842,9.4,0.21,0.21,0.21,0.21,0.13,0.15,0.13,0.15,15,7,46.7,7,46.7,50.85,2.13,12.45,30.21,8.62,1.91,50.85,1.6,0.74,0.74,22.98,100.11,52.77,0.85,0.21,0.11,1.7,0.53,30.85,0.85,1.82,0.0,1.06,0.0,0.21,0.11,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,294,346,85.0,4760,1302,141,158,89.2,141,153,92.2,8,20,40.0,0.0,0.02,0.02,-0.02,0.53,1.81,0.32,0.0,3.72,36.81,36.28,0.32,0.32,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,31.28,0.21,0.53,2.03,0.53,0.11,0.4,0.06,0.8,0.8,66.7,0.21,0.0,0.0,1.91,0.64,0.11,1.91,1.6,0.0,0.0,4.68,1.7,0.85,2.55,1.28,0.64,0.64,1.28,2.45,1.17,1.7,0.96,4.47,0.85,0.0,52.2
44,47,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28.0,1996.0,12,12,1041,11.6,0.09,0.09,0.09,0.09,0.01,0.04,0.01,0.04,23,11,47.8,8,34.8,57.07,3.97,19.22,23.62,15.43,0.69,57.07,1.98,0.95,0.69,25.43,173.45,105.26,2.33,1.55,0.34,1.47,0.69,27.67,1.81,2.25,0.09,1.64,0.34,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,401,538,74.5,6127,2616,230,260,88.5,141,193,73.1,21,57,36.8,0.0,0.03,0.07,-0.03,0.43,3.19,0.69,0.43,4.31,46.38,36.9,9.4,0.6,0.0,0.09,2.24,8.79,0.0,0.0,0.0,0.0,34.57,0.09,1.64,0.35,0.09,0.25,1.0,0.03,0.9,0.9,30.8,0.17,0.0,0.0,0.6,1.12,0.09,1.38,1.47,0.0,0.0,5.69,0.34,0.78,2.07,1.38,0.6,0.09,1.47,2.07,0.6,0.95,0.34,3.45,2.76,0.09,70.8
46,49,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26.0,1998.0,8,8,636,7.1,0.0,0.0,0.0,0.0,0.04,0.07,0.04,0.07,8,4,50.0,4,50.0,50.14,3.52,19.72,23.38,7.75,1.13,50.14,1.13,0.56,0.56,27.89,174.37,103.66,1.97,0.99,0.0,1.13,0.85,33.24,1.69,0.99,0.28,0.99,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,236,300,78.7,3792,1412,125,140,89.3,89,117,76.1,15,24,62.5,0.0,0.03,0.01,-0.03,0.28,2.82,0.28,0.28,3.52,42.25,37.61,4.51,0.28,0.0,0.42,0.7,4.23,0.0,0.0,0.0,0.0,33.24,0.14,1.41,0.14,0.14,0.0,0.0,0.28,-0.3,-0.3,42.1,0.42,0.0,0.0,0.85,0.42,0.0,0.85,0.7,0.0,0.0,2.25,1.13,1.55,0.85,0.7,0.14,0.0,0.28,1.13,0.85,1.13,0.14,1.69,2.68,0.0,25.0
54,57,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23.0,2001.0,11,9,813,9.0,0.0,0.0,0.0,0.0,0.01,0.06,0.01,0.06,9,3,33.3,4,44.4,59.67,5.56,24.11,26.56,9.33,0.11,59.67,1.0,0.33,0.44,33.0,178.11,99.33,2.0,1.56,0.0,0.33,0.33,34.78,2.56,1.44,0.22,1.0,0.22,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,337,430,78.4,6499,2469,128,148,86.5,165,188,87.8,38,79,48.1,0.0,0.04,0.06,-0.04,0.78,2.78,1.0,0.56,4.0,47.78,42.11,5.44,1.67,0.0,1.56,2.44,3.56,0.11,0.11,0.0,0.0,37.44,0.22,1.0,0.33,0.11,0.0,0.0,0.03,-0.1,-0.1,48.0,0.22,0.0,0.0,0.33,1.67,0.0,1.22,1.22,0.0,0.11,4.67,1.33,1.44,2.0,1.0,0.56,0.44,1.11,1.78,0.67,1.89,0.44,3.22,4.0,0.11,62.5
64,67,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20.0,2004.0,10,10,724,8.0,0.25,0.25,0.25,0.25,0.21,0.36,0.21,0.36,33,7,21.2,21,63.6,40.38,0.38,3.25,16.5,21.62,4.12,40.38,4.12,0.88,2.62,25.88,177.0,87.25,3.12,2.38,1.38,4.25,1.25,31.38,8.62,3.48,0.5,2.38,0.38,0.25,0.0,0.5,0.0,0.25,0.0,0.12,0.0,0.12,0.0,149,221,67.4,2046,519,95,117,81.2,43,64,67.2,6,18,33.3,0.0,0.16,0.18,-0.16,1.62,0.88,1.62,0.12,2.88,27.62,25.25,2.12,0.25,0.75,0.12,3.12,0.0,1.0,0.38,0.5,0.0,18.62,0.25,1.38,1.86,0.99,0.13,0.25,0.11,0.3,0.3,35.3,0.12,0.0,0.0,0.88,2.75,1.0,0.12,0.38,0.0,0.0,4.0,0.75,1.38,0.75,0.12,0.12,0.5,0.25,0.75,0.5,0.62,0.0,0.88,0.25,0.0,33.3
67,71,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29.0,1995.0,9,8,592,6.6,0.0,0.3,0.0,0.3,0.15,0.33,0.15,0.33,15,2,13.3,13,86.7,37.73,1.06,7.42,16.52,14.85,3.64,37.73,2.27,0.3,1.97,23.18,165.3,74.55,2.42,2.42,0.45,1.97,1.21,26.67,4.7,2.13,0.61,1.36,0.0,0.0,0.61,0.0,0.15,0.3,0.0,0.0,0.3,0.0,0.0,125,168,74.4,1787,429,74,90,82.2,42,60,70.0,5,8,62.5,0.3,0.18,0.08,0.12,0.91,1.36,0.61,0.15,3.79,25.45,25.3,0.15,0.0,0.0,0.0,1.82,0.0,0.15,0.0,0.15,0.0,18.94,0.0,0.76,2.28,0.3,0.0,0.0,0.07,-1.0,-1.0,40.0,0.15,0.0,0.0,0.76,1.21,0.45,0.61,0.76,0.0,0.0,4.24,0.91,1.36,1.06,0.45,0.3,0.3,0.3,1.67,1.36,0.3,0.0,1.67,1.21,0.0,18.2
72,76,Marcos Alonso,es ESP,"DF,MF",Celta Vigo,es La Liga,33.0,1990.0,10,8,822,9.1,0.0,0.0,0.0,0.0,0.04,0.06,0.04,0.06,7,3,42.9,4,57.1,82.2,8.46,35.05,39.67,8.57,0.88,82.2,0.77,0.33,0.44,54.4,296.04,176.81,1.87,0.77,0.11,0.66,0.22,58.68,2.2,0.88,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575,659,87.3,9887,3803,247,265,93.2,280,298,94.0,36,70,51.4,0.0,0.02,0.03,-0.02,0.44,5.82,0.66,0.11,5.38,72.42,67.91,4.29,2.31,0.0,0.66,0.77,1.76,0.11,0.11,0.0,0.0,63.19,0.22,0.99,0.77,0.22,0.0,0.0,0.05,-0.4,-0.4,64.7,0.22,0.0,0.0,0.88,0.99,0.11,1.21,0.88,0.0,0.0,4.73,2.42,1.32,1.32,0.88,0.22,0.22,0.99,1.76,0.77,0.66,0.33,2.53,4.62,0.11,56.3
73,77,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26.0,1998.0,6,4,345,3.8,0.0,0.0,0.0,0.0,0.04,0.08,0.04,0.08,3,2,66.7,1,33.3,64.74,7.37,28.68,29.47,6.84,1.32,64.74,0.79,0.53,0.26,36.84,171.32,77.89,0.79,1.84,0.0,0.53,1.32,40.53,0.79,1.04,0.0,0.53,0.0,0.26,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,155,198,78.3,2942,1029,47,53,88.7,97,117,82.9,9,22,40.9,0.0,0.03,0.03,-0.03,0.26,2.37,0.26,0.26,2.37,52.11,46.84,5.0,1.84,0.0,0.26,1.58,3.16,0.0,0.0,0.0,0.0,40.79,0.26,0.26,0.78,0.26,0.0,0.0,0.05,-0.2,-0.2,60.0,0.26,0.0,0.0,2.11,0.26,0.0,2.11,1.05,0.0,0.0,3.42,3.16,2.11,1.32,1.05,0.26,0.0,0.26,1.84,1.58,1.32,0.79,3.42,4.74,0.0,14.3
74,78,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23.0,2001.0,9,7,598,6.6,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,16,6,37.5,6,37.5,45.0,4.24,14.09,21.97,10.0,0.15,45.0,2.42,0.91,0.91,21.82,123.64,61.36,1.82,1.36,0.15,1.21,0.3,23.18,3.03,0.75,0.15,0.45,0.0,0.15,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,168,209,80.4,2859,760,87,96,90.6,64,79,81.0,16,28,57.1,0.0,0.0,0.03,0.0,0.15,2.73,0.3,0.0,2.58,31.67,27.73,3.79,0.3,0.0,0.15,1.36,3.48,0.0,0.0,0.0,0.0,25.45,0.15,0.45,0.45,0.0,0.0,0.0,0.03,-0.1,-0.1,50.0,0.15,0.0,0.0,1.36,1.52,0.3,1.82,0.91,0.0,0.0,3.94,1.36,1.36,2.27,1.21,0.76,0.3,1.21,2.12,0.91,1.06,0.61,4.09,3.03,0.3,57.1
75,79,Sergi Altimira,es ESP,MF,Betis,es La Liga,23.0,2001.0,11,8,736,8.2,0.0,0.12,0.0,0.12,0.05,0.16,0.04,0.14,7,6,85.7,1,14.3,69.51,1.46,12.2,44.63,13.29,0.49,69.51,0.85,0.73,0.12,42.8,174.63,73.78,0.98,0.85,0.0,0.98,0.98,50.37,1.1,2.57,0.12,2.2,0.0,0.24,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,428,479,89.4,7081,1628,214,232,92.2,166,177,93.8,37,46,80.4,0.12,0.11,0.09,0.01,0.85,4.02,0.85,0.0,5.24,58.41,57.44,0.98,0.98,0.49,0.85,0.12,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.98,1.22,0.12,0.0,0.0,0.03,-0.4,-0.3,36.4,0.24,0.0,0.0,1.71,1.46,0.0,0.49,1.59,0.0,0.0,6.34,0.49,0.85,2.44,0.73,1.46,0.24,1.34,2.56,1.22,1.1,0.12,2.93,1.22,0.0,52.4
77,81,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21.0,2003.0,14,10,999,11.1,0.18,0.27,0.18,0.27,0.13,0.19,0.13,0.19,51,21,41.2,29,56.9,68.92,1.62,15.95,26.22,27.3,4.77,68.92,4.59,1.89,2.61,42.52,230.99,137.12,4.32,2.43,2.52,1.53,0.9,45.32,8.83,2.61,0.45,1.98,0.0,0.36,0.27,0.0,0.0,0.27,0.0,0.18,0.0,0.0,0.0,503,631,79.7,7713,1999,274,309,88.7,198,236,83.9,21,40,52.5,0.09,0.05,0.1,0.04,0.9,1.44,0.9,0.18,2.97,56.85,47.12,9.28,0.99,0.0,0.18,2.07,7.48,0.81,0.27,0.09,0.0,45.32,0.45,1.26,1.26,0.54,0.14,0.33,0.11,0.5,0.5,50.0,0.27,0.0,0.0,1.35,0.99,0.09,0.54,0.54,0.0,0.09,5.05,0.27,0.27,1.53,0.72,0.63,0.18,0.54,0.99,0.45,1.26,0.09,2.07,1.89,0.09,54.5
81,85,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,28.0,1996.0,10,9,664,7.4,0.27,0.41,0.14,0.27,0.35,0.38,0.24,0.27,30,15,50.0,11,36.7,37.43,0.27,5.54,19.32,13.11,1.62,37.3,4.05,2.03,1.49,19.86,115.81,52.84,1.49,0.95,0.41,2.03,1.62,22.16,2.03,2.03,0.14,1.08,0.27,0.54,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,136,181,75.1,2328,772,76,81,93.8,40,51,78.4,17,34,50.0,0.14,0.03,0.05,0.11,0.68,2.43,0.41,0.0,3.51,24.46,21.22,2.97,1.35,0.27,0.41,2.43,0.0,1.35,0.27,0.95,0.0,18.38,0.27,0.81,1.9,0.68,0.07,0.2,0.13,-0.6,-0.8,28.6,0.14,0.0,0.0,1.89,1.62,0.0,0.95,0.95,0.0,0.0,4.59,0.27,0.68,1.62,0.54,0.95,0.14,0.0,0.81,0.81,1.62,0.0,2.57,0.27,0.14,0.0
83,87,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30.0,1994.0,10,8,746,8.3,0.0,0.0,0.0,0.0,0.03,0.05,0.03,0.05,13,7,53.8,6,46.2,70.6,2.41,21.69,35.42,14.22,0.48,70.6,1.57,0.84,0.72,35.78,183.01,110.36,2.53,2.17,0.12,1.08,0.48,41.81,2.41,1.33,0.12,1.2,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,368,503,73.2,5964,2134,174,206,84.5,165,224,73.7,21,48,43.8,0.0,0.02,0.02,-0.02,0.72,3.25,0.48,0.0,3.86,60.6,49.4,10.96,0.96,0.0,0.24,1.69,10.0,0.0,0.0,0.0,0.0,44.34,0.24,1.57,0.97,0.36,0.0,0.0,0.03,-0.3,-0.3,71.4,0.24,0.0,0.0,1.81,0.72,0.0,0.84,2.05,0.0,0.24,3.98,1.81,0.72,2.89,1.2,1.33,0.36,1.81,2.53,0.72,0.96,0.24,3.73,1.93,0.0,71.4
